symbol,name,sector,effective_from,effective_to,source
ODAS.IS,ODAŞ ELEKTRİK ÜRETİM SANAYİ TİCARET A.Ş.,ELEKTRİK GAZ VE SU,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
ODINE.IS,ODİNE SOLUTİONS TEKNOLOJİ TİCARET VE SANAYİ A.Ş.,TEKNOLOJİ,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
OTKAR.IS,OTOKAR OTOMOTİV VE SAVUNMA SANAYİ A.Ş.,İMALAT,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
OYAKC.IS,OYAK ÇİMENTO FABRİKALARI A.Ş.,İMALAT,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
PASEU.IS,PASİFİK EURASİA LOJİSTİK DIŞ TİCARET A.Ş.,ULAŞTIRMA VE DEPOLAMA,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
PSGYO.IS,PASİFİK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,MALİ KURULUŞLAR,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
PAHOL.IS,PASİFİK HOLDİNG A.Ş.,MALİ KURULUŞLAR,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
PATEK.IS,PASİFİK TEKNOLOJİ A.Ş.,TEKNOLOJİ,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
PGSUS.IS,PEGASUS HAVA TAŞIMACILIĞI A.Ş.,ULAŞTIRMA VE DEPOLAMA,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
PETKM.IS,PETKİM PETROKİMYA HOLDİNG A.Ş.,İMALAT,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
QUAGR.IS,QUA GRANITE HAYAL YAPI VE ÜRÜNLERİ SANAYİ TİCARET A.Ş.,İMALAT,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
RALYH.IS,RAL YATIRIM HOLDİNG A.Ş.,MALİ KURULUŞLAR,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
REEDR.IS,REEDER TEKNOLOJİ SANAYİ VE TİCARET A.Ş.,TEKNOLOJİ,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
SARKY.IS,SARKUYSAN ELEKTROLİTİK BAKIR SANAYİ VE TİCARET A.Ş.,İMALAT,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
SASA.IS,SASA POLYESTER SANAYİ A.Ş.,İMALAT,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
SKBNK.IS,ŞEKERBANK T.A.Ş.,MALİ KURULUŞLAR,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
SOKM.IS,ŞOK MARKETLER TİCARET A.Ş.,TOPTAN VE PERAKENDE TİCARET,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
TAVHL.IS,TAV HAVALİMANLARI HOLDİNG A.Ş.,MALİ KURULUŞLAR,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
TKFEN.IS,TEKFEN HOLDİNG A.Ş.,MALİ KURULUŞLAR,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
TOASO.IS,TOFAŞ TÜRK OTOMOBİL FABRİKASI A.Ş.,İMALAT,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
TRMET.IS,TR ANADOLU METAL MADENCİLİK İŞLETMELERİ A.Ş.,MADENCİLİK VE TAŞ OCAKÇILIĞI,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
TRENJ.IS,TR DOĞAL ENERJİ KAYNAKLARI ARAŞTIRMA VE ÜRETİM A.Ş.,MADENCİLİK VE TAŞ OCAKÇILIĞI,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
TUKAS.IS,TUKAŞ GIDA SANAYİ VE TİCARET A.Ş.,İMALAT,2026-09-19,,"KAP Endeksler (kap.org.tr/tr/Endeksler) + KAP Sektörler, 2026-09-19"
